frame_number,timestamp_ms,event_type,crosshair_x,crosshair_y,enemy_bbox_x,enemy_bbox_y,enemy_bbox_w,enemy_bbox_h,enemy_head_y,map_region,notes
3600,60000,round_start,960,540,,,,,,,Round begins
4200,70000,enemy_visible,960,540,680,200,45,110,215,B Main,Rifle duel starts
4230,70500,aim_correction_start,840,380,680,200,45,110,215,B Main,Crosshair flick begins
4260,71000,shot_fired,780,340,680,200,45,110,215,B Main,First burst fired
4290,71500,enemy_killed,820,310,,,,,,B Main,Killfeed confirms kill
4920,82000,enemy_visible,960,540,220,350,50,120,360,A Site,Enemy pushes short
4950,82500,aim_correction_start,560,400,220,350,50,120,360,A Site,Adjusting to target
4980,83000,shot_fired,480,380,220,350,50,120,360,A Site,Single shot
5040,84000,player_died,400,500,,,,,,A Site,Player dies after trade
7200,120000,round_start,960,540,,,,,,,New round starts
8100,135000,enemy_visible,960,540,1100,180,40,100,195,B Site,Enemy crossing site
8130,135500,aim_correction_start,1020,250,1100,180,40,100,195,B Site,Slight right-up flick
8160,136000,shot_fired,1060,200,1100,180,40,100,195,B Site,Sniper shot fired
8175,136250,enemy_killed,1060,200,,,,,,B Site,One-tap confirmed

